creation_time_c,expiry_date_c,bid_size_c,bid_price_c,last_price_c,ask_price_c,strike_price_c,ask_size_c,volume_c,underlying_price_c,creation_time_p,expiry_date_p,bid_size_p,bid_price_p,last_price_p,ask_price_p,strike_price_p,ask_size_p,volume_p,underlying_price_p
09-08-2019,03-27-2020,2.0,0.0155,0.021,0.0185,34000,14.0,0.0,10783.439792706144,09-08-2019,12-27-2019,1.0,0.001,3.59,,52000,,0.0,10666.27
09-08-2019,09-13-2019,11.0,0.092,0.095,0.0975,9500,6.0,10.2,10433.854966084213,09-08-2019,03-27-2020,3.0,0.549,0.629,0.629,16000,3.0,0.4,10783.54089720663
09-08-2019,09-27-2019,1.1,0.002,0.588,0.5925,4500,5.0,0.0,10516.22,09-08-2019,09-13-2019,,,,,13500,,0.0,10433.854966084213
09-08-2019,09-20-2019,24.0,0.016,0.016,0.0185,11500,6.4,0.9,10475.047482837777,09-08-2019,10-25-2019,6.2,0.0395,0.04,0.041,9000,0.1,3.1,10562.43076907789
09-08-2019,12-27-2019,2.0,0.001,0.002,0.002,44000,24.0,0.0,10666.27,09-08-2019,09-20-2019,6.0,0.078,0.0795,0.0815,11000,6.0,7.7,10475.03514289077
09-08-2019,03-27-2020,16.0,0.102,0.111,0.1105,16000,4.9,0.0,10783.54089720663,09-08-2019,03-27-2020,7.1,0.0005,0.8095,,18000,,0.0,10783.439792706144
09-08-2019,03-27-2020,15.0,0.183,0.1875,0.1905,12000,2.1,0.8,10783.54089720663,09-08-2019,09-27-2019,14.0,0.1565,0.15,0.166,12000,6.0,0.0,10516.22
09-08-2019,09-13-2019,10.0,0.185,0.188,0.195,8500,5.0,0.0,10433.850286122024,09-08-2019,09-27-2019,,,0.0005,0.0005,3000,40.0,0.0,10516.22
09-08-2019,09-13-2019,0.1,0.0015,0.0015,0.002,12000,0.1,24.5,10433.845605799985,09-08-2019,09-27-2019,,,0.0015,0.0005,3250,48.0,0.0,10516.22
09-08-2019,10-25-2019,39.1,0.0095,0.014,0.0125,16000,52.4,30.1,10562.40307677042,09-08-2019,10-25-2019,10.0,0.136,0.171,0.2975,12000,3.4,0.0,10562.40307677042
09-08-2019,12-27-2019,11.0,0.392,0.4965,0.429,6500,11.0,0.0,10666.27,09-08-2019,09-27-2019,15.0,0.023,0.024,0.026,9500,29.9,7.9,10516.2
09-08-2019,09-27-2019,1.0,0.161,0.714,0.675,3500,10.0,0.0,10516.22,09-08-2019,12-27-2019,0.2,0.0085,0.009,0.0105,5500,58.9,0.0,10666.27
